电影名称,导演,主演,上映年份,类型,国家/地区,片长,豆瓣评分,评价人数,五星占比,短评总数,长评总数
春,达米亚诺·米基耶莱托,特克拉·因索里亚 / 米凯莱·里翁迪诺 / 法布里齐亚·萨基 / 安德里亚·彭纳基 / 瓦伦蒂娜·贝莱 / 斯特凡诺·阿科尔西 / 希尔德加德·德·斯特凡诺 / 米克·雅里 / 科西玛·森图里奥尼 / 费代丽卡·吉拉尔德洛 / 丽贝卡·安托纳奇 / Chiara Sacco / 亚历山德罗·布雷萨内罗 / Roberta Potrich / Paolo Rozzi,2025,剧情 / 音乐 / 传记,意大利 / 法国,110分钟,7.5,961,,385,3
暗黑新娘！,玛吉·吉伦哈尔,杰西·巴克利 / 克里斯蒂安·贝尔 / 安妮特·贝宁 / 佩内洛普·克鲁兹 / 彼得·萨斯加德 / 杰克·吉伦哈尔 / 约翰·马加罗 / 马修·马希尔 / 珍妮·柏林 / 兹拉特科·布里奇 / 路易斯·坎瑟米 / 朱莉安·浩夫 / 马西尔·摩丹 / 安东尼·阿巴图 / 尼尔·文森特·史密斯,2026,剧情 / 惊悚 / 犯罪,法国 / 美国,127分钟,6.3,20421,,10712,187
好孩子,王国燊,许瑞奇 / 洪慧芳 / 路斯明 / 吴清樑 / 周智慧 / 李文海 / 林志强 / Das DD / 李金才,2025,剧情 / 同性,新加坡,105分钟,8.1,4508,,1785,30
奇迹梦之队,泰里·迪利海 / 亚当·罗塞特,凯莱布·麦克劳克林 / 加布里埃尔·尤尼恩 / 斯蒂芬·库里 / 亚伦·皮埃尔 / 妮可拉·考夫兰 / 大卫·哈伯 / 尼克·克罗尔 / 詹妮弗·路易斯 / 帕顿·奥斯瓦尔特 / 杰利·罗尔 / 詹妮弗·哈德森 / 雪莉·可拉 / 爱德华多·弗兰科 / 安德鲁·桑提诺 / 鲍比·李,2026,喜剧 / 动画 / 冒险,美国 / 加拿大,100分钟,6.7,20500,,10169,117
日掛中天,蔡尚君,辛芷蕾 / 张颂文 / 冯绍峰,2025,剧情,中国大陆,131分钟,7.0,98719,,42224,941
马拉加街夕阳红,玛丽亚姆·图扎尼,卡门·毛拉 / 玛尔塔·埃图拉 / 艾哈迈德·布拉内 / 玛利亚·阿尔方萨·罗索 / 米格尔·加尔塞斯 / 拉·伊门,2025,剧情,西班牙 / 法国 / 德国 / 比利时 / 摩洛哥,116分钟,7.6,1846,,893,6
绿液惊魂,强尼·坎贝尔,乔·基瑞 / 连姆·尼森 / 乔治娜·坎贝尔 / 索茜·贝肯 / 瓦妮莎·雷德格雷夫 / 莱丝利·曼维尔 / 亚伦·赫弗南 / 埃洛拉·托尔基亚 / 罗伯·柯林斯 / 贾斯汀·塞林格 / 加文·斯波克斯 / 安德鲁·布鲁克 / 达雷尔·席尔瓦 / 露伊萨·里希特 / 纳赫尔·策盖,2026,喜剧 / 科幻 / 惊悚,英国 / 法国 / 美国,99分钟,6.0,10099,,3694,26
夜王,吴炜伦,黄子华 / 郑秀文 / 王丹妮 / 廖子妤 / 杨伟伦 / 谢君豪 / 卢镇业 / 何启华 / 杨偲泳 / 谭旻萱 / 李芯駖 / 林熙彤 / 邓丽英 / 蔡蕙琪 / 黄洁琪,2026,剧情 / 喜剧,中国大陆 / 中国香港,133分钟(中国大陆) / 132分钟(中国香港) / 162分钟(导演剪辑版),7.8,104434,,41897,504
同事以上，恋人未满,欧·帕克,詹妮弗·洛佩兹 / 布雷特·戈德斯坦 / 贝蒂·吉尔平 / 艾米·塞德丽丝 / 托尼·海尔 / 布莱德利·惠特福德 / 爱德华·詹姆斯·奥莫斯 / 丽萨·吉洛伊 / 格雷迪·埃尔德里奇 / 杰姬·桑德勒 / 托尼·普拉纳 / 里克·霍夫曼 / 威尔·萨索 / 朱迪·惠特克 / 米歇尔·赫德,2026,喜剧 / 爱情,美国,115分钟,5.7,1036,,367,7
熊出没·年年有熊,林汇达,张伟 / 张秉君 / 谭笑 / 王兵兵 / 聂吉轩 / 周子瑜 / 潘耀东 / 贺敬仁 / 贾晨露 / 张茗 / 王思雨 / 崔恩梓 / 李婉瑶 / 刘思奇 / 李芝恩,2026,喜剧 / 动画 / 奇幻,中国大陆,118分钟,6.5,32409,,14861,317
